"registrační číslo","název","adresa","kraj","druh činnosti","kapacita","GPS","datum registrace"
"CZ 81C05153","Kočka pro tebe z.s.","Prokopa Velikého 260/17, Vítkovice, 70300 Ostrava","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 120","49°48'49.582""N,18°16'17.731""E","22.10.2025"
"CZ 81C04983","Útulek pro kočky a malé hlodavce","Chopinova 523/10, Přívoz, 70200 Ostrava","Moravskoslezský kraj","útulek pro zájmová zvířata","králíci a hlodavci 10, kočka 85","49°50'56.879""N,18°16'23.404""E","13.02.2025"
"CZ 81C04589","Tlapkovi patroni, z.s.","Dětmarovice č. p. 218, 73571 Dětmarovice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 50","49°52'32.528""N,18°26'38.902""E","02.06.2022"
"CZ 81C04455","Odchytové kotce města Klimkovice","Lidická 1, 74283 Klimkovice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 2","49°47'11.577""N,18°7'49.093""E","29.11.2021"
"CZ 81C04422","Bouda","Na Václavu 449, 73532 Rychvald","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 10","49°50'53.911""N,18°23'40.027""E","11.11.2021"
"CZ 81C04398","Záchytný kotec Bravantice","Bravantice č. p. 223, 74281 Bravantice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 1","49°45'25.983""N,18°5'2.001""E","25.11.2021"
"CZ 81C03937","Čtyřlístek pro hafany z.s.","Závada č. p. 67, 73572 Petrovice u Karviné","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 70","49°54'5.954""N,18°30'0.126""E","28.11.2017"
"CZ 81C03904","Nadace na pomoc zvířatům","Ukrajinská 1536/28, Poruba, 70800 Ostrava","Moravskoslezský kraj","útulek pro zájmová zvířata","fretka 5, kočka 50, králíci a hlodavci 5, ptáci 10, plazi 5, pes 7","49°49'27.855""N,18°11'27.310""E","29.10.2018"
"CZ 81C03814","Útulek pro zájmová zvířata","Sedlnice č. p. 109, 74256 Sedlnice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 2","49°39'32.286""N,18°5'14.554""E","31.05.2018"
"CZ 81C03803","Měrková - mazlíci v nouzi","Dobrovského 536/27, Přívoz, 70200 Ostrava","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 2, pes 10, králíci a hlodavci 1, fretka 1, ptáci 2","49°51'24.725""N,18°15'54.551""E","03.05.2018"
"CZ 81C03768","Neposedné tlapky, z. s.","Sokolská 1347, Frýdek, 73801 Frýdek-Místek","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 5, pes 2, králíci a hlodavci 2","49°41'24.243""N,18°20'4.648""E","10.01.2018"
"CZ 81C03735","Kočky Bohumín z.s.","Ostravská 84, Pudlov, 73551 Bohumín","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 120","49°53'44.060""N,18°19'56.284""E","09.01.2018"
"CZ 81C03713","Kočky Bruntál z.s.","Žlutý kopec 1163/3, 79201 Bruntál","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 1, kočka 180","49°59'24.245""N,17°28'17.860""E","04.01.2018"
"CZ 81C03689","Záchytné kotce města Fulnek","Bílovecká 532, 74245 Fulnek","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 10","49°42'55.967""N,17°54'49.220""E","04.01.2018"
"CZ 81C03476","Městská policie Budišov n. B.","Guntramovice, 74787 Budišov nad Budišovkou","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 10","49°47'51.900""N,17°36'37.266""E","07.12.2017"
"CZ 81C03241","Útulek pro psy Orlová - Lazy","V Zimném dole 868, Lazy, 73511 Orlová","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 28","49°49'29.359""N,18°25'25.861""E","14.12.2017"
"CZ 81C03218","Městská policie Bílovec","Slezské náměstí 1/1, 74301 Bílovec","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 2","49°45'22.634""N,18°0'56.856""E","08.01.2018"
"CZ 81C02712","Záchytné kotce Vítkov","náměstí Jana Zajíce 7, 74901 Vítkov","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 12","49°46'34.640""N,17°45'4.766""E","14.12.2017"
"CZ 81C02611","Útulek pro psy","Markvartovická 1747/6, 74801 Hlučín","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 8","49°53'49.298""N,18°12'11.084""E","28.11.2017"
"CZ 81C02004","Psí útulek Slezské Pavlovice","Slezské Pavlovice č. p. 114, 79399 Slezské Pavlovice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 190, kočka 15","50°18'25.393""N,17°42'1.898""E","27.11.2017"
"CZ 81C01676","Útulek pro opuštěné psy a drobná zvířata","Stará 1473/20, Prostřední Suchá, 73564 Havířov","Moravskoslezský kraj","útulek pro zájmová zvířata","ptáci 1, plazi 1, kočka 18, pes 80, fretka 1, králíci a hlodavci 1","49°48'3.741""N,18°27'34.866""E","28.11.2017"
"CZ 81C01621","Eva Vinklárková","Sedliště č. p. 114, 73936 Sedliště","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 50","49°44'14.71""N,18°22'1.32""E","15.02.2006"
"CZ 81C00439","Městský útulek pro psy Třinec","Frýdecká 73, Staré Město, 73961 Třinec","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 2, pes 25","49°40'12.30""N,18°39'29.05""E","14.02.2005"
"CZ 81C00406","Útulek pro psy Bohumín","Větrná 1161, Šunychl, 73581 Bohumín","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 26","49°55'19.240""N,18°22'2.333""E","14.12.2017"
"CZ 81C00383","Psí útulek Karviná","Darkov parc. č. 1325/18, 73503 Karviná","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 41","49°50'13.915""N,18°32'18.744""E","28.11.2017"
"CZ 81C00259","Městský úřad Odry - útulek pro psy","Masarykovo náměstí 35/15, 74235 Odry","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 10","49°39'42.802""N,17°49'45.429""E","29.11.2017"
"CZ 81C00248","Městský útulek pro psy - Radar","nám. Republiky 762, Butovice, 74213 Studénka","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 14","49°42'52.979""N,18°3'17.654""E","03.01.2018"
"CZ 81C00237","Útulek pro psy Kopřivnice - Vlčovice","Vlčovice č. p. 200, 74221 Kopřivnice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 50","49°36'23.971""N,18°10'34.139""E","11.12.2017"
"CZ 81C00136","Statutární město Ostrava, útulek pro opuštěné psy","Provozní 5540/4a, Třebovice, 72200 Ostrava","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 177","49°50'25.212""N,18°11'41.151""E","30.11.2017"
"CZ 81C00125","Městský útulek pro psy","Opava-Předměstí, Jaselská, 74707 Opava 7","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 20, pes 50","49°57'20.555""N,17°53'7.985""E","12.12.2017"
"CZ 72C03432","útulek","Za Oskolí 2140/24, 76701 Kroměříž","Zlínský kraj","útulek pro zájmová zvířata","kočka 60","49°17'33.099""N,17°24'49.300""E","20.08.2024"
"CZ 72C03151","Záchytný útulek Městské policie Holešov","Bořenovská 1422, 76901 Holešov","Zlínský kraj","útulek pro zájmová zvířata","pes 3, ptáci 1","49°20'9.764""N,17°34'24.882""E","24.09.2021"
"CZ 72C02981","Útulek Zlín, z.s.","Mezilesí 628, Kostelec, 76314 Zlín","Zlínský kraj","útulek pro zájmová zvířata","pes 80, kočka 40","49°14'54.073""N,17°41'17.967""E","01.04.2020"
"CZ 72C02936","Brumov-Bylnice","Mýto 461, Bylnice, 76331 Brumov-Bylnice","Zlínský kraj","útulek pro zájmová zvířata","pes 2","49°4'33.634""N,18°0'35.774""E","13.01.2020"
"CZ 72C02813","Město Valašské Klobouky","Brumovská 522, 76601 Valašské Klobouky","Zlínský kraj","útulek pro zájmová zvířata","pes 2","49°8'6.517""N,18°0'34.669""E","25.06.2019"
"CZ 72C02789","Josef Holub","Třebízského 1331/15, 76701 Kroměříž","Zlínský kraj","útulek pro zájmová zvířata","kočka 40","49°18'4.402""N,17°23'11.279""E","15.02.2019"
"CZ 72C02677","Krmiva-Morava s.r.o.","Hulín parc. č. 2858/20, 76824 Hulín","Zlínský kraj","útulek pro zájmová zvířata","pes 10","49°17'54.424""N,17°28'56.761""E","04.05.2018"
"CZ 72C02644","Město Luhačovice","Luhačovice, Uherskobrodská, v blízkosti ČOV","Zlínský kraj","útulek pro zájmová zvířata","pes 3","49°5'7.346""N,17°43'54.156""E","09.01.2018"
"CZ 72C02633","Město Staré Město","Staré Město u Uherského Hradiště parc. č. 240/446, Staré Město","Zlínský kraj","útulek pro zájmová zvířata","pes 4","49°4'17.887""N,17°26'7.967""E","05.01.2018"
"CZ 72C02611","Technické služby města Vizovice,příspěvková organizace","Zlínská 372, 76312 Vizovice","Zlínský kraj","útulek pro zájmová zvířata","pes 3","49°13'8.762""N,17°50'55.409""E","05.01.2018"
"CZ 72C02598","město Otrokovice","K. Čapka 1256, 76502 Otrokovice","Zlínský kraj","útulek pro zájmová zvířata","pes 5","49°12'31.547""N,17°30'39.399""E","28.12.2017"
"CZ 72C02576","Město Fryšták","Lúčky 438, 76316 Fryšták","Zlínský kraj","útulek pro zájmová zvířata","pes 2","49°17'10.696""N,17°40'53.437""E","27.12.2017"
"CZ 72C02565","Kroměřížské technické služby, s.r.o.","Za Oskolí 2455/22, 76701 Kroměříž","Zlínský kraj","útulek pro zájmová zvířata","pes 50","49°17'34.235""N,17°24'51.732""E","27.12.2017"
"CZ 72C02509","Technické služby města Vsetína, příspěvková organizace","Jasenická 528, 75501 Vsetín","Zlínský kraj","útulek pro zájmová zvířata","kočka 20, pes 23","49°20'15.297""N,18°1'49.963""E","15.12.2017"
"CZ 72C02497","Psí útulek Rožnovsko s.r.o.","Videčská 2452, 75661 Rožnov pod Radhoštěm","Zlínský kraj","útulek pro zájmová zvířata","pes 30, kočka 15","49°27'17.343""N,18°7'43.237""E","15.12.2017"
"CZ 72C02453","město Slavičín","Divnice č. p. 123, 76321 Slavičín","Zlínský kraj","útulek pro zájmová zvířata","pes 2","49°5'43.992""N,17°54'27.520""E","12.12.2017"
"CZ 72C02442","Město Uherské Hradiště","Uherské Hradiště parc. č. 315/1, Uherské Hradiště","Zlínský kraj","útulek pro zájmová zvířata","pes 6","49°3'40.135""N,17°27'35.426""E","12.12.2017"
"CZ 72C02420","Zatoulané štěstí, z. s.","Osvoboditelů 931, 76701 Kroměříž","Zlínský kraj","útulek pro zájmová zvířata","kočka 100","49°16'34.815""N,17°23'8.874""E","06.11.2017"
"CZ 72C02419","ÚtulekJinak, z.s.","Radovany 116, 76361 Napajedla","Zlínský kraj","útulek pro zájmová zvířata","pes 15, kočka 5","49°10'20.361""N,17°30'7.230""E","06.11.2017"
"CZ 72C02295","Dobré ruce, z.s.","Nad Vývozem 4822, 76005 Zlín","Zlínský kraj","útulek pro zájmová zvířata","kočka 80","49°14'0.345""N,17°40'1.153""E","02.01.2018"
"CZ 72C02206","Město Bojkovice","Sušilova 952, 68771 Bojkovice","Zlínský kraj","útulek pro zájmová zvířata","pes 2","49°2'12.173""N,17°48'39.836""E","20.11.2017"
"CZ 72C02138","Kočičí depozitum Flíček, z.s.","Nedakonice č. p. 99, 68738 Nedakonice","Zlínský kraj","útulek pro zájmová zvířata","kočka 120","49°1'46.289""N,17°23'0.686""E","29.11.2017"
"CZ 72C01193","MĚSTO BYSTŘICE POD HOSTÝNEM","Masarykovo nám. 137, 76861 Bystřice pod Hostýnem","Zlínský kraj","útulek pro zájmová zvířata","pes 15, kočka 5","49°23'59.97""N,17°40'19.33""E","30.11.2017"
"CZ 72C00338","TS Valašské Meziříčí s.r.o.","M. Alše 833, Krásno nad Bečvou, 75701 Valašské Meziříčí","Zlínský kraj","útulek pro zájmová zvířata","pes 10","49°28'31.47""N,17°57'23.49""E","09.01.2018"
"CZ 71C03161","Depozitum koček Olomouc - Chválkovice","Selské nám. 41/58, Chválkovice, 77900 Olomouc","Olomoucký kraj","útulek pro zájmová zvířata","kočka 30","49°36'47.285""N,17°17'39.377""E","10.03.2025"
"CZ 71C02878","Spolek Šklíba","Janošíkova 79, 79070 Javorník","Olomoucký kraj","útulek pro zájmová zvířata","kočka 40","50°24'18.367""N,17°2'11.572""E","01.02.2022"
"CZ 71C02834","Equittana - azyl z.s.","Libina č. p. 167, 78805 Libina","Olomoucký kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","plazi 3, skot 5, jiné 10, koně 10, králíci a hlodavci 10, ovce a kozy 20, fretka 5, ptáci 10, prasata 5","49°53'14.687""N,17°4'23.911""E","03.08.2021"
"CZ 71C02799","Psí škola a psinec Studená Loučka, z.s.","Studená Loučka č. p. 31, 78985 Mohelnice","Olomoucký kraj","útulek pro zájmová zvířata","pes 3","49°45'55.251""N,16°49'2.564""E","08.03.2021"
"CZ 71C02766","""U REXE""","Hanušovická 351, 78832 Staré Město","Olomoucký kraj","útulek pro zájmová zvířata","pes 3","50°9'13.877""N,16°56'56.220""E","26.10.2020"
"CZ 71C02654","Nadační fond VOŘÍŠEK","Samota 133, 79858 Čechy pod Kosířem","Olomoucký kraj","útulek pro zájmová zvířata","pes 20","49°32'45.615""N,17°2'18.062""E","24.10.2019"
"CZ 71C02597","Javornické čumáčky, z.s.","Dolní Fořt č. p. 26, 79070 Uhelná","Olomoucký kraj","útulek pro zájmová zvířata","pes 3","50°22'40.927""N,17°2'16.546""E","08.04.2019"
"CZ 71C02519","Útulek pro zvířat Pomocné ruce Olomouc z.s.","Jeremenkova 54/3, Bělidla, 77900 Olomouc","Olomoucký kraj","útulek pro zájmová zvířata","kočka 70","49°35'54.860""N,17°16'30.973""E","04.01.2019"
"CZ 71C02429","Útulek Kaira","Štěpánov č. p. 659, 78313 Štěpánov","Olomoucký kraj","útulek pro zájmová zvířata","pes 5","49°40'19.286""N,17°14'11.912""E","18.01.2018"
"CZ 71C02418","Jesenické tlapky, z.s.","Otakara Březiny 347/22, 79001 Jeseník","Olomoucký kraj","útulek pro zájmová zvířata","pes 4","50°14'2.120""N,17°12'9.313""E","02.01.2018"
"CZ 71C02384","Technické služby Jeseník, a.s.","Otakara Březiny 168/41, 79001 Jeseník","Olomoucký kraj","útulek pro zájmová zvířata","pes 5","50°14'25.977""N,17°12'25.580""E","02.01.2018"
"CZ 71C02362","Odchytové kotce Městské policie Litovel","Cholinská 1008, 78401 Litovel","Olomoucký kraj","útulek pro zájmová zvířata","pes 2","49°41'23.911""N,17°4'18.720""E","24.11.2017"
"CZ 71C02351","Radomír Joukl","Dlouhá 56, 75366 Hustopeče nad Bečvou","Olomoucký kraj","útulek pro zájmová zvířata","pes 5","49°31'47.831""N,17°52'42.585""E","22.11.2017"
"CZ 71C02340","Azyl Gaia, z.s.","Lužná č. p. 19, 78833 Kopřivná","Olomoucký kraj","útulek pro zájmová zvířata","kočka 130","50°2'2.429""N,16°56'13.733""E","22.11.2017"
"CZ 71C02171","Město Moravský Beroun-Městská Policie","náměstí 9. května 4, 79305 Moravský Beroun","Olomoucký kraj","útulek pro zájmová zvířata","pes 2, fretka 2, králíci a hlodavci 2, kočka 2","49°47'36.449""N,17°26'31.570""E","18.12.2017"
"CZ 71C02092","Město Zlaté Hory","Na Sídlišti 697, 79376 Zlaté Hory","Olomoucký kraj","útulek pro zájmová zvířata","pes 1","50°15'19.891""N,17°23'38.827""E","02.01.2018"
"CZ 71C01844","ZS Ruda nad Moravou","Na vyhlídce 38, 78963 Ruda nad Moravou","Olomoucký kraj","","","49°59'1.006""N,16°52'43.608""E","07.08.2023"
"CZ 71C01518","Město Vidnava - odchyt toulavých psů","Mírové náměstí 80, 79055 Vidnava","Olomoucký kraj","útulek pro zájmová zvířata","pes 6","50°22'19.145""N,17°11'6.746""E","02.01.2018"
"CZ 71C01316","Psí útulek města Mohelnice","Mohelnice parc. č. 2360/1, 78985 Mohelnice","Olomoucký kraj","útulek pro zájmová zvířata","pes 10","49°46'51.710""N,16°56'15.765""E","20.12.2017"
"CZ 71C01035","Město Šternberk","ČSA 13/30, 78501 Šternberk","Olomoucký kraj","útulek pro zájmová zvířata","fretka 1, pes 5, králíci a hlodavci 1, plazi 1, kočka 1","49°43'48.137""N,17°17'48.952""E","05.02.2018"
"CZ 71C01013","Město Šumperk - Městská policie Šumperk","Jesenická 621/31, 78701 Šumperk","Olomoucký kraj","útulek pro zájmová zvířata","pes 2","49°57'47.670""N,16°59'0.454""E","20.12.2017"
"CZ 71C01002","Obec Mikulovice","Hlavní 5, 79084 Mikulovice","Olomoucký kraj","útulek pro zájmová zvířata","pes 4","50°17'54.51""N,17°19'16.65""E","02.01.2018"
"CZ 71C00821","AJSHA a.s.","Samota 133, 79858 Čechy pod Kosířem","Olomoucký kraj","útulek pro zájmová zvířata","pes 80, kočka 20","49°32'45.60""N,17°2'18.07""E","22.12.2017"
"CZ 71C00191","EKO servis Zábřeh s.r.o.","Dvorská 1491/19, 78901 Zábřeh","Olomoucký kraj","útulek pro zájmová zvířata","pes 15","49°53'11.67""N,16°52'29.89""E","07.12.2017"
"CZ 71C00067","Útulek pro zatoulaná zvířata Přerov","Přerov I-Město č. p. 3187, 75002 Přerov","Olomoucký kraj","útulek pro zájmová zvířata","kočka 20, pes 20","49°27'37.077""N,17°25'56.835""E","18.11.2017"
"CZ 71C00012","Liga na ochranu zvířat České republiky místní organizace Olomouc","Neředín č. p. 726, 77900 Olomouc","Olomoucký kraj","útulek pro zájmová zvířata","kočka 10, fretka 1, pes 80","49°35'30.939""N,17°12'41.937""E","22.11.2017"
"CZ 62C05826","Spolek kočičí azyl Znojemsko","Prosiměřice č. p. 49, 67161 Prosiměřice","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 150","48°54'16.249""N,16°11'22.350""E","25.06.2021"
"CZ 62C05736","Zvířetník z.s.","Brněnská 194, 66441 Omice","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 5, pes 10","49°10'10.494""N,16°27'12.573""E","04.08.2020"
"CZ 62C05668","Interpespenzion Brno","Královo Pole, Kociánka 23, 61200 Brno 12","Jihomoravský kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","ovce a kozy 5, kočka 15, koně 6, pes 50, prasata 1","49°14'24.146""N,16°36'21.528""E","12.12.2023"
"CZ 62C05602","Jménem psa z.s.","K. Klostermanna 1604, 69681 Bzenec","Jihomoravský kraj","útulek pro zájmová zvířata","pes 26","48°57'56.879""N,17°16'44.656""E","30.08.2023"
"CZ 62C05590","OKT Opuštěné kočičí tlapky z.s.","Chrlické náměstí 65/1, Chrlice, 64300 Brno","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 100","49°8'8.050""N,16°39'15.203""E","25.08.2023"
"CZ 62C05578","KasPro","Popůvky č. ev. 5, 66441 Popůvky","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 15","49°11'22.316""N,16°29'24.222""E","04.07.2023"
"CZ 62C05534","Adéla Šebelová","Hybešova 85, 66401 Řícmanice","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 10, ptáci 20, fretka 1, pes 5, králíci a hlodavci 5, plazi 3","49°15'19.085""N,16°41'43.616""E","24.04.2023"
"CZ 62C05512","Kočičí spolek Slatina","Slatina č. p. 39, 67153 Slatina","Jihomoravský kraj","útulek pro zájmová zvířata","ovce a kozy 6, kočka 40, koně 2","49°1'9.631""N,16°0'56.495""E","02.03.2023"
"CZ 62C05411","LuckyCats, z.s.","U Dráhy 414/3, 66449 Ostopovice","Jihomoravský kraj","","","49°9'49.110""N,16°32'43.317""E","03.08.2020"
"CZ 62C05185","Kočky u Katky, z.s.","Kobylí č. p. 404, 69110 Kobylí","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 50","48°55'47.970""N,16°53'27.446""E","29.07.2019"
"CZ 62C05141","Adámkův zvířecí azyl z.s.","Žatčany č. p. 189, 66453 Žatčany","Jihomoravský kraj","útulek pro zájmová zvířata","pes 10, kočka 1","49°5'11.124""N,16°44'8.423""E","11.04.2019"
"CZ 62C05107","Záchytná stanice pro psy","Svatopluka Čecha p.č. 4638, 68001 Boskovice","Jihomoravský kraj","útulek pro zájmová zvířata","pes 6","49°29'39.148""N,16°40'43.829""E","23.01.2019"
"CZ 62C04915","Město Veselí nad Moravou záchytný kotec SMV","Blatnická 1551, 69801 Veselí nad Moravou","Jihomoravský kraj","útulek pro zájmová zvířata","pes 3","48°56'50.046""N,17°23'39.505""E","14.02.2018"
"CZ 62C04892","ZOO PARK Vyškov, příspěvková organizace","Cukrovarská 424/9, Vyškov-Město, 68201 Vyškov","Jihomoravský kraj","útulek pro zájmová zvířata","pes 15","49°16'22.283""N,16°59'48.424""E","12.01.2018"
"CZ 62C04881","Brněnský Max - domov pro kočky, z.s.","Májová 33, Černčín, 68501 Bučovice","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 90","49°9'18.811""N,17°1'19.411""E","12.01.2018"
"CZ 62C04870","Cat Planet z.s.","Drůbežní trh 159/7, 66491 Ivančice","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 40","49°6'3.452""N,16°22'44.031""E","12.01.2018"
"CZ 62C04858","Záchranná stanice pro československé vlčáky, zapsaný spolek","Olomučany č. p. 263, 67903 Olomučany","Jihomoravský kraj","útulek pro zájmová zvířata","pes 20","49°18'23.473""N,16°39'58.970""E","12.01.2018"
"CZ 62C04836","Kočky SOS","Bezručova 2765/34, 69501 Hodonín","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 150","48°51'34.020""N,17°7'32.050""E","20.12.2017"
"CZ 62C04803","Azyl Jiřina Skoumalová z.s.","Ústup č. p. 18, 67974 Ústup","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 80","49°33'50.927""N,16°27'45.419""E","20.12.2017"
"CZ 62C04791","Kyjovské tlapky, z.s.","Nádražní 2075/13, Nětčice, 69701 Kyjov","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 10","49°1'3.845""N,17°7'27.878""E","18.12.2017"
"CZ 62C04780","1.plyšový útulek z.s.","Kovalovice č. p. 169, 68301 Kovalovice","Jihomoravský kraj","útulek pro zájmová zvířata","pes 30, plazi 2, králíci a hlodavci 10, kočka 10, fretka 2, ptáci 10","49°11'4.331""N,16°49'36.752""E","13.02.2018"
"CZ 62C04757","Dočasky.cz, z. s.","Nová 931/59, 69151 Lanžhot","Jihomoravský kraj","útulek pro zájmová zvířata","pes 20","48°43'29.275""N,16°56'57.609""E","14.12.2017"
"CZ 62C04746","Kočičí oáza, z.s.","Holubice č. p. 207, 68351 Holubice","Jihomoravský kraj","útulek pro zájmová zvířata","kočka 250, pes 9","49°10'37.657""N,16°49'29.824""E","12.12.2017"
"CZ 62C03778","Pavel Kočvara","Bulhary č. ev. 90, 69189 Bulhary","Jihomoravský kraj","útulek pro zájmová zvířata","pes 15, kočka 5","48°48'58.102""N,16°45'34.677""E","17.01.2012"
"CZ 62C01754","Útulek Tibet, z.s.","Marefy č. p. 44, 68501 Bučovice","Jihomoravský kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","kočka 130, ovce a kozy 10, jiné 2, ptáci 30, pes 15, prasata 4, skot 2, králíci a hlodavci 20","49°8'47.736""N,16°58'14.226""E","28.02.2008"
"CZ 62C01710","Útulek Přímětice u Znojma","K Suchopádu 273/8, Přímětice, 66904 Znojmo","Jihomoravský kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","kočka 100, králíci a hlodavci 5, skot 1, koně 1, ptáci 10, plazi 1, pes 100, ovce a kozy 5","48°53'7.747""N,16°2'22.336""E","22.12.2005"
"CZ 62C01620","Obecní útulek pro psy","Brněnská 27/29, 67801 Blansko 1","Jihomoravský kraj","útulek pro zájmová zvířata","pes 12","49°21'2.116""N,16°38'45.342""E","19.11.2007"
"CZ 62C01585","Psí útulek Znojmo","Znojmo 2, Načeratice, 66902 Znojmo 2","Jihomoravský kraj","útulek pro zájmová zvířata","pes 38, kočka 98","48°49'19.818""N,16°6'47.776""E","22.12.2006"
"CZ 62C00731","Útulek pro opuštěná zvířata a odchytová a asanační služba","Bystrcká 1186/46, Komín, 63500 Brno","Jihomoravský kraj","útulek pro zájmová zvířata","pes 205, kočka 78","49°13'39.976""N,16°32'38.824""E","12.12.2017"
"CZ 62C00359","Útulek pro psy a kočky","U Zoo 3529/1, 69501 Hodonín","Jihomoravský kraj","útulek pro zájmová zvířata","pes 34, plazi 4","48°51'52.579""N,17°6'25.788""E","15.03.2005"
"CZ 62C00281","Útulek pro opuštěná a toulavá zvířata","Bulhary č. p. 90, 69189 Bulhary","Jihomoravský kraj","útulek pro zájmová zvířata","pes 60, kočka 10","48°49'52.13""N,16°45'2.30""E","10.03.2005"
"CZ 61C03249","Kočičí domov Sissi","Křoví č. p. 227, 59454 Křoví","Kraj Vysočina","útulek pro zájmová zvířata","kočka 70, pes 5","49°18'51.238""N,16°16'0.428""E","09.12.2021"
"CZ 61C03003","spolek PSINEC, z. s.","Bratří Čapků 2818/31, 58601 Jihlava","Kraj Vysočina","útulek pro zájmová zvířata","pes 12","49°23'35.420""N,15°34'34.526""E","13.06.2018"
"CZ 61C02990","Služby Telč, spol. s r.o.","Radkovská 560, Telč-Staré Město, 58856 Telč","Kraj Vysočina","útulek pro zájmová zvířata","pes 1","49°10'20.506""N,15°27'35.874""E","13.06.2018"
"CZ 61C02934","Azyl pro opuštěné kočky U Růženky, z.s.","Šašovská 64, 67526 Želetava","Kraj Vysočina","útulek pro zájmová zvířata","pes 3, kočka 30","49°8'18.810""N,15°40'20.320""E","09.01.2018"
"CZ 61C02901","Kočičí útulek Mikeš HB","Kokořínská 2487, 58001 Havlíčkův Brod","Kraj Vysočina","útulek pro zájmová zvířata","kočka 100","49°36'48.988""N,15°34'40.452""E","09.01.2018"
"CZ 61C02888","Nebojsův depozit, z. s.","Tunochody č. ev. 34, 58401 Číhošť","Kraj Vysočina","útulek pro zájmová zvířata","kočka 20","49°45'41.633""N,15°19'51.494""E","09.01.2018"
"CZ 61C02462","Dej pac!","Častonín č. p. 2, 39301 Zachotín","Kraj Vysočina","útulek pro zájmová zvířata","pes 30, kočka 15","49°26'54.291""N,15°21'16.885""E","14.12.2017"
"CZ 61C02428","Jaroslav Anděl","V Ráji 1170, 67531 Jemnice","Kraj Vysočina","útulek pro zájmová zvířata","pes 4","49°0'39.460""N,15°34'26.199""E","26.01.2018"
"CZ 61C01887","Zdeněk Veleba","Lukov č. p. 110, 67602 Lukov","Kraj Vysočina","útulek pro zájmová zvířata","kočka 10, pes 60","49°4'19.25""N,15°49'50.58""E","11.12.2017"
"CZ 61C01865","Město Světlá nad Sázavou","náměstí Trčků z Lípy 18, 58291 Světlá nad Sázavou","Kraj Vysočina","útulek pro zájmová zvířata","pes 4","49°40'26.968""N,15°24'42.410""E","25.05.2021"
"CZ 61C01540","Městský útulek Velké Meziříčí","Zámecká 794, 59401 Velké Meziříčí","Kraj Vysočina","útulek pro zájmová zvířata","pes 12","49°21'28.472""N,16°0'33.188""E","01.01.2018"
"CZ 61C00561","Spolek na ochranu zvířat - Jiří Dvořák","Nerudova 378, 58813 Polná","Kraj Vysočina","útulek pro zájmová zvířata","pes 15","49°29'24.13""N,15°42'46.28""E","03.01.2018"
"CZ 61C00550","Magistrát města Jihlavy-útulek pro psy","Pístov č. p. 60, 58601 Jihlava","Kraj Vysočina","útulek pro zájmová zvířata","pes 75, kočka 10","49°23'6.190""N,15°34'23.920""E","21.12.2017"
"CZ 61C00415","Útulek pro opuštěná zvířata","Mírovka č. p. 127, 58001 Havlíčkův Brod","Kraj Vysočina","útulek pro zájmová zvířata","pes 20","49°34'59.97""N,15°37'22.49""E","08.01.2018"
